Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,District
30.0,5.0,6.0,5.0,3.0,3.0,Have certificate,Full,4.0,Hoàng Mai
30.0,4.2,6.0,5.0,3.0,3.0,Have certificate,Full,5.5,Hoàng Mai
31.0,4.6,4.0,5.0,3.0,3.0,Have certificate,Full,3.95,Hoàng Mai
35.0,0.0,0.0,5.0,3.0,4.0,Have certificate,None,5.6,Bắc Từ Liêm
34.0,3.6,2.5,4.0,3.0,3.0,Have certificate,Basic,2.7,Hà Đông
38.0,0.0,4.0,3.0,4.0,3.0,Have certificate,None,2.7,Hà Đông
54.0,4.5,2.5,5.0,3.0,3.0,Have certificate,Basic,6.0,Bắc Từ Liêm
42.0,4.0,6.0,4.0,4.0,3.0,Have certificate,Full,10.0,Hà Đông
38.0,3.7,4.0,5.0,4.0,4.0,Have certificate,Full,7.5,Hà Đông
38.0,0.0,0.0,6.0,3.0,5.0,Have certificate,Full,6.8,Bắc Từ Liêm
35.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,5.5,Cầu Giấy
50.0,4.2,0.0,4.0,4.0,4.0,Have certificate,Full,8.35,Cầu Giấy
63.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,8.5,Cầu Giấy
40.0,0.0,0.0,4.0,4.0,3.0,Have certificate,None,5.95,Hoàng Mai
46.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,9.5,Thanh Xuân
32.0,3.8,2.0,5.0,3.0,4.0,Have certificate,Full,3.82,Hà Đông
61.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,9.2,Cầu Giấy
50.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,7.3,Cầu Giấy
60.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,8.8,Cầu Giấy
39.0,4.0,0.0,4.0,4.0,3.0,Have certificate,Full,5.1,Cầu Giấy
50.0,6.0,4.0,6.0,4.0,5.0,Have certificate,Full,9.8,Long Biên
36.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,7.5,Ba Đình
45.0,0.0,0.0,4.0,3.0,3.0,Have certificate,Full,6.95,Long Biên
47.0,5.05,3.0,6.0,4.0,4.0,Have certificate,Basic,9.5,Long Biên
46.0,0.0,0.0,4.0,5.0,5.0,Have certificate,Basic,6.6,Long Biên
31.0,4.2,0.0,5.0,3.0,3.0,Have certificate,Basic,3.6,Hà Đông
35.0,3.9,4.5,5.0,4.0,4.0,Have certificate,Full,7.5,Hoàng Mai
45.0,0.0,0.0,4.0,3.0,3.0,Have certificate,Basic,7.3,Thanh Xuân
35.0,4.0,3.0,5.0,3.0,4.0,Have certificate,Full,3.8,Nam Từ Liêm
33.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,3.99,Hai Bà Trưng
45.0,6.0,4.0,5.0,3.0,4.0,Have certificate,Basic,4.9,Bắc Từ Liêm
40.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,7.5,Bắc Từ Liêm
45.0,7.0,0.0,6.0,3.0,4.0,Have certificate,Full,9.6,Hoàng Mai
50.0,2.0,0.0,4.0,3.0,3.0,Have certificate,Full,6.0,Ba Đình
42.0,4.0,6.0,6.0,4.0,4.0,Have certificate,None,8.5,Hoàng Mai
30.0,0.0,0.0,5.0,3.0,3.0,Have certificate,None,3.6,Hà Đông
40.0,3.6,0.0,5.0,5.0,4.0,Have certificate,Full,6.95,Tây Hồ
40.0,4.5,5.0,5.0,4.0,4.0,Have certificate,Full,6.3,Thanh Trì
30.0,0.0,3.0,5.0,3.0,3.0,Have certificate,Full,4.15,Hà Đông
30.0,0.0,3.0,5.0,4.0,4.0,Have certificate,Basic,2.3,Hà Đông
30.9,4.91,0.0,5.0,3.0,3.0,Have certificate,Full,4.4,Long Biên
39.0,7.2,2.3,4.0,5.0,3.0,Have certificate,Full,4.5,Nam Từ Liêm
70.0,3.7,3.0,4.0,4.0,3.0,None,Full,10.0,Cầu Giấy
43.0,0.0,2.5,4.0,4.0,3.0,None,None,3.9,Hai Bà Trưng
40.0,0.0,3.0,4.0,4.0,3.0,None,Full,4.4,Hai Bà Trưng
16.0,0.0,0.0,3.0,3.0,3.0,None,None,1.7,Đống Đa
52.6,0.0,3.0,4.0,3.0,4.0,Have certificate,Full,7.9,Bắc Từ Liêm
30.0,0.0,2.5,5.0,3.0,4.0,None,None,3.5,Hai Bà Trưng
32.0,0.0,0.0,4.0,3.0,3.0,None,None,3.9,Đống Đa
34.0,0.0,0.0,4.0,5.0,3.0,Have certificate,None,4.8,Hoàng Mai
60.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,7.0,Nam Từ Liêm
37.0,4.0,3.0,5.0,4.0,4.0,Have certificate,Full,6.1,Ba Đình
50.0,8.0,4.0,5.0,3.0,4.0,Have certificate,Full,4.5,Long Biên
21.0,4.0,3.0,4.0,3.0,3.0,Have certificate,Full,4.85,Hai Bà Trưng
37.0,0.0,0.0,4.0,3.0,4.0,Have certificate,Full,8.15,Cầu Giấy
32.0,0.0,0.0,4.0,3.0,3.0,Have certificate,None,4.95,Thanh Xuân
45.0,0.0,5.0,3.0,4.0,3.0,Have certificate,Full,9.6,Hà Đông
35.0,3.6,3.0,3.0,3.0,3.0,Have certificate,Full,2.4,Chương Mỹ
17.0,0.0,0.0,3.0,2.0,2.0,Have certificate,Basic,3.1,Đống Đa
38.0,4.0,3.0,6.0,3.0,5.0,Have certificate,Full,8.08,Ba Đình
